query_name,match_level,category,candidate_A_node,candidate_A_name,candidate_A_block,candidate_B_nodes,candidate_B_names,candidate_B_blocks,query_block,gold_curie,adjudication_method,difficulty_flag,retrievable@200,eligible_for
citrulline,CURATION,multi-id (biomapper ambiguous set),CHEBI:18211,citrulline,RHGKLRLOHDJJDR,CHEBI:16349|CHEBI:57743,L-citrulline|L-citrulline zwitterion,RHGKLRLOHDJJDR|RHGKLRLOHDJJDR,RHGKLRLOHDJJDR,,expert,ambiguous_shared_connectivity,True,
cyclo(pro-val),CURATION,divergent (different compound),CHEBI:69439,cyclo(L-Pro-L-Val),XLUAWXQORJEMBD,CHEBI:201644,Cyclo(D-Val-L-Pro),XLUAWXQORJEMBD,XLUAWXQORJEMBD,,expert,ambiguous_shared_connectivity,True,
cystathionine,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:17755,cystathionine,ILRYLPWNYFXEMH,CHEBI:17482,L-cystathionine,ILRYLPWNYFXEMH,ILRYLPWNYFXEMH,,expert,ambiguous_shared_connectivity,True,
deoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:28834,deoxycholic acid,KXGVEGMKQFWNSR,CHEBI:23614,deoxycholate,KXGVEGMKQFWNSR,KXGVEGMKQFWNSR,,expert,ambiguous_shared_connectivity,True,
deoxycholic acid 12-sulfate*,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:233494,deoxycholic acid 12-sulfate,GMRIQHBJNVMHJA,CHEBI:232726,deoxycholic acid sulfate,IZKWIUMIBAMUCQ,,,expert,query_unresolvable,False,
dihomo-linoleate (20:2n6),CURATION,divergent (different compound),CHEBI:73731,"(11Z,14Z)-icosadienoic acid",XSXIVVZCUAHUJO,CHEBI:88670,Dihomo-linoleate (20:2n6),LNAVIIOBBICBIS,,,expert,query_unresolvable,False,
dihydrobiopterin,MS1,divergent (different compound),CHEBI:43120,"(6R)-L-erythro-6,7-dihydrobiopterin",ZHQJVZLJDXWFFX,CHEBI:43029,"L-erythro-7,8-dihydrobiopterin",FEMXZDUTFRTWPE,FEMXZDUTFRTWPE,CHEBI:43029,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
dihydroferulate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:86612,dihydroferulic acid,BOLQJTPHPSDZHR,CHEBI:133751,dihydroferulate,BOLQJTPHPSDZHR,BOLQJTPHPSDZHR,,expert,ambiguous_shared_connectivity,True,
dihydroxyphenylalanine (DOPA),MS1,multi-id (biomapper ambiguous set),CHEBI:49168,dopa,WTDRDQBEARUVNC,CHEBI:15765|CHEBI:192509|CHEBI:57504,L-dopa|foslevodopa|L-dopa zwitterion,WTDRDQBEARUVNC|WTDRDQBEARUVNC|WTDRDQBEARUVNC,,,expert,query_unresolvable,True,
erucate (22:1n9),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:28792,erucic acid,DPUOLQHDNGRHBS,CHEBI:32393,erucate,DPUOLQHDNGRHBS,,,expert,query_unresolvable,True,
eugenol sulfate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133570,eugenol sulfate,XWAZTQUZONPJEW,CHEBI:133571,eugenol sulfate(1-),XWAZTQUZONPJEW,XWAZTQUZONPJEW,,expert,ambiguous_shared_connectivity,True,
ferulate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17620,trans-ferulic acid,KSEBMYQBYZTDHS,CHEBI:29749,trans-ferulate,KSEBMYQBYZTDHS,KSEBMYQBYZTDHS,,expert,ambiguous_shared_connectivity,True,
gamma-aminobutyrate (GABA),MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:16865,gamma-aminobutyric acid,BTCSSZJGUNDROE,CHEBI:30566,gamma-aminobutyrate,BTCSSZJGUNDROE,,,expert,query_unresolvable,False,
gamma-glutamylalanine,CURATION,divergent (different compound),CHEBI:50621,gamma-glutamylalanine,WQXXXVRAFAKQJM,CHEBI:50619,gamma-Glu-Ala,WQXXXVRAFAKQJM,WQXXXVRAFAKQJM,,expert,ambiguous_shared_connectivity,True,
gluconate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:33198,D-gluconic acid,RGHNJXZEOKUKBD,CHEBI:24265,gluconate,RGHNJXZEOKUKBD,RGHNJXZEOKUKBD,,expert,ambiguous_shared_connectivity,True,
glutamate,CURATION,multi-id (biomapper ambiguous set),CHEBI:18237,glutamic acid,WHUUTDBJXJRKMK,CHEBI:16015|CHEBI:232425|CHEBI:64243|CHEBI:91250,L-glutamic acid|monosodium L-glutamate hydrate|monosodium L-glutamate|disodium L-glutamate,LPUQAYUQRXPFSQ|LPUQAYUQRXPFSQ|LPUQAYUQRXPFSQ|LPUQAYUQRXPFSQ,WHUUTDBJXJRKMK,CHEBI:18237,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
glutamine,CURATION,multi-id (biomapper ambiguous set),CHEBI:28300,glutamine,ZDXPYRJPNDTMRX,CHEBI:18050|CHEBI:58359,L-glutamine|L-glutamine zwitterion,ZDXPYRJPNDTMRX|ZDXPYRJPNDTMRX,ZDXPYRJPNDTMRX,,expert,ambiguous_shared_connectivity,True,
glycerate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:33508,glyceric acid,RBNPOMFGQQGHHO,CHEBI:33871,glycerate,RBNPOMFGQQGHHO,RBNPOMFGQQGHHO,,expert,ambiguous_shared_connectivity,False,
glycerophosphoethanolamine,CURATION,parent/child or substring (generic vs specific),CHEBI:16929,sn-glycero-3-phosphoethanolamine,JZNWSCPGTDBMEW,CHEBI:36314,glycerophosphoethanolamine,JZNWSCPGTDBMEW,JZNWSCPGTDBMEW,,expert,ambiguous_shared_connectivity,False,
glycerophosphoinositol*,CURATION,divergent (different compound),CHEBI:166490,sn-Glycero-3-phosphoinositol,BMVUIWJCUQSHLZ,CHEBI:35771,glycerophosphoinositol phosphate,,,,expert,query_unresolvable,False,
glycochenodeoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:36274,glycochenodeoxycholic acid,GHCZAUBVMUEKKP,CHEBI:36252,glycochenodeoxycholate,GHCZAUBVMUEKKP,GHCZAUBVMUEKKP,,expert,ambiguous_shared_connectivity,True,
glycocholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17687,glycocholic acid,RFDAIACWWDREDC,CHEBI:29746,glycocholate,RFDAIACWWDREDC,RFDAIACWWDREDC,,expert,ambiguous_shared_connectivity,True,
glycodeoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:27471,glycodeoxycholic acid,WVULKSPCQVQLCU,CHEBI:82982,glycodeoxycholate,WVULKSPCQVQLCU,WVULKSPCQVQLCU,,expert,ambiguous_shared_connectivity,True,
guanidinoacetate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16344,guanidinoacetic acid,BPMFZUMJYQTVII,CHEBI:131444,guanidinoacetate,BPMFZUMJYQTVII,BPMFZUMJYQTVII,,expert,ambiguous_shared_connectivity,True,
"gulono-1,4-lactone",MS2,divergent (different compound),CHEBI:177057,D-(-)-Gulono-gamma-lactone,SXZYCXMUPBBULW,CHEBI:17587,"L-gulono-1,4-lactone",SXZYCXMUPBBULW,SXZYCXMUPBBULW,,expert,ambiguous_shared_connectivity,True,
heptanoate (7:0),CURATION,parent/child or substring (generic vs specific),CHEBI:45571,heptanoic acid,MNWFXJYAOYHMED,CHEBI:179775,Heptyl heptanoate,QOIIBPAJVWFEPE,,,expert,query_unresolvable,False,
hexadecadienoate (16:2n6),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:86147,"(7Z,10Z)-hexadecadienoic acid",WPJGPAAPSBVXNU,CHEBI:78096,hexadecadienoate,,,,expert,query_unresolvable,False,
histidine,CURATION,multi-id (biomapper ambiguous set),CHEBI:27570,histidine,HNDVDQJCIGZPNO,CHEBI:15971|CHEBI:57595,L-histidine|L-histidine zwitterion,HNDVDQJCIGZPNO|HNDVDQJCIGZPNO,HNDVDQJCIGZPNO,,expert,ambiguous_shared_connectivity,True,
homoarginine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:27747,L-homoarginine,QUOGESRFPZDMMT,CHEBI:24606,homoarginine,QUOGESRFPZDMMT,QUOGESRFPZDMMT,,expert,ambiguous_shared_connectivity,True,
homocarnosine,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:28050,homocarnosine,CCLQKVKJOGVQLU,CHEBI:85981,L-homocarnosine,CCLQKVKJOGVQLU,CCLQKVKJOGVQLU,,expert,ambiguous_shared_connectivity,True,
homoserine,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:30653,homoserine,UKAUYVFTDYCKQA,CHEBI:15699,L-homoserine,UKAUYVFTDYCKQA,UKAUYVFTDYCKQA,,expert,ambiguous_shared_connectivity,True,
iminodiacetate (IDA),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:24786,iminodiacetic acid,NBZBKCUXIYYUSX,CHEBI:24785,iminodiacetate,NBZBKCUXIYYUSX,,,expert,query_unresolvable,True,
indole-3-carboxylate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:24809,indole-3-carboxylic acid,KMAKOBLIOCQGJP,CHEBI:62448,indole-3-carboxylate,KMAKOBLIOCQGJP,KMAKOBLIOCQGJP,,expert,ambiguous_shared_connectivity,True,
indolebutyrate,MS1,parent/child or substring (generic vs specific),CHEBI:33070,indole-3-butyric acid,JTEDVYBZBROSJT,CHEBI:35581,indole,SIKJAQJRHWYJAI,JTEDVYBZBROSJT,CHEBI:33070,inchikey_auto,connectivity_match,False,tier1
kynurenate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18344,kynurenic acid,HCZHHEIFKROPDY,CHEBI:58454,kynurenate,HCZHHEIFKROPDY,HCZHHEIFKROPDY,,expert,ambiguous_shared_connectivity,True,
lanthionine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:25013,lanthionine,DWPCPZJAHOETAG,CHEBI:21347,L-lanthionine,DWPCPZJAHOETAG,DWPCPZJAHOETAG,,expert,ambiguous_shared_connectivity,True,
laurylcarnitine (C12),CURATION,divergent (different compound),CHEBI:77086,O-lauroyl-L-carnitine,FUJLYHJROOYKRA,CHEBI:192727,2-Hydroxyisovalerylcarnitine,FANTUGMIEAASNP,,,expert,query_unresolvable,False,
linoleate (18:2n6),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17351,linoleic acid,OYHQOLUKZRVURQ,CHEBI:30245,linoleate,OYHQOLUKZRVURQ,,,expert,query_unresolvable,False,
linolenic acid,MS2,multi-id (biomapper ambiguous set),CHEBI:25633,octadecatrienoic acid,ZUUFLXSNVWQOJW,CHEBI:165492|CHEBI:27432,Elaidolinolenic acid|alpha-linolenic acid,DTOSIQBPPRVQHS|DTOSIQBPPRVQHS,DTOSIQBPPRVQHS,,expert,ambiguous_shared_connectivity,False,
lysine,CURATION,multi-id (biomapper ambiguous set),CHEBI:25094,lysine,KDXKERNSBIXSRK,CHEBI:133538|CHEBI:18019|CHEBI:194466|CHEBI:53633|CHEBI:61488,L-lysine zwitterion|L-lysine|L-Lysine zwitterion|L-lysine hydrochloride|poly(lysine) polymer,BVHLGVCQOALMSV|BVHLGVCQOALMSV|BVHLGVCQOALMSV|BVHLGVCQOALMSV|BVHLGVCQOALMSV,KDXKERNSBIXSRK,CHEBI:25094,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
lyxonate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:134538,D-lyxonic acid,QXKAIJAYHKCRRA,CHEBI:145756,lyxonate,,,,expert,query_unresolvable,True,
malate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:6650,malic acid,BJEPYKJPYRNKOW,CHEBI:30797,(S)-malic acid,BJEPYKJPYRNKOW,BJEPYKJPYRNKOW,,expert,ambiguous_shared_connectivity,False,
mandelate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:35825,mandelic acid,IWYDHOAUDWTVEP,CHEBI:25147,mandelate,IWYDHOAUDWTVEP,IWYDHOAUDWTVEP,,expert,ambiguous_shared_connectivity,True,
margarate (17:0),CURATION,divergent (different compound),CHEBI:32365,heptadecanoic acid,KEMQGTRYUADPNZ,CHEBI:32366,margarate,KEMQGTRYUADPNZ,,,expert,query_unresolvable,False,
menthol,MS1,multi-id (biomapper ambiguous set),CHEBI:15409,(-)-menthol,NOOLISFMXDJSKH,CHEBI:25187|CHEBI:76306,p-menthan-3-ol|(+)-menthol,NOOLISFMXDJSKH|NOOLISFMXDJSKH,NOOLISFMXDJSKH,,expert,ambiguous_shared_connectivity,True,
myristoylcarnitine (C14),CURATION,divergent (different compound),CHEBI:84634,O-tetradecanoyl-L-carnitine,PSHXNVGSVNEJBD,CHEBI:178069,Myristoleoylcarnitine,UXKFXBZBMICOJF,,,expert,query_unresolvable,False,
naringenin,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:50202,naringenin,FTVWIRXFELQLPI,CHEBI:17846,(S)-naringenin,FTVWIRXFELQLPI,FTVWIRXFELQLPI,,expert,ambiguous_shared_connectivity,True,
nonadecenoate (19:1),CURATION,parent/child or substring (generic vs specific),CHEBI:83051,(10Z)-nonadec-10-enoic acid,BBOWBNGUEWHNQZ,CHEBI:84965,cholesteryl nonadecenoate,,,,expert,query_unresolvable,True,
octadecanedioate (C18),MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:133086,octadecanedioic acid,BNJOQKFENDDGSC,CHEBI:133087,octadecanedioate,BNJOQKFENDDGSC,,,expert,query_unresolvable,True,
ornithine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18257,ornithine,AHLPHDHHMVZTML,CHEBI:15729,L-ornithine,AHLPHDHHMVZTML,AHLPHDHHMVZTML,,expert,ambiguous_shared_connectivity,True,
phenylacetylglutamine,CURATION,parent/child or substring (generic vs specific),CHEBI:17884,N(2)-phenylacetyl-L-glutamine,JFLIEFSWGNOPJJ,CHEBI:25982,phenylacetylglutamine,JFLIEFSWGNOPJJ,JFLIEFSWGNOPJJ,,expert,ambiguous_shared_connectivity,True,
phenylalanine,CURATION,multi-id (biomapper ambiguous set),CHEBI:28044,phenylalanine,COLNVLDHVKWLRT,CHEBI:17295|CHEBI:58095,L-phenylalanine|L-phenylalanine zwitterion,COLNVLDHVKWLRT|COLNVLDHVKWLRT,COLNVLDHVKWLRT,,expert,ambiguous_shared_connectivity,True,
phenylpropanolamine,MS1,divergent (different compound),CHEBI:8104,phenylpropanolamine,DLNKOYKMWOXYQA,CHEBI:36,(+)-norephedrine,DLNKOYKMWOXYQA,DLNKOYKMWOXYQA,,expert,ambiguous_shared_connectivity,True,
phenylpyruvate,CURATION,parent/child or substring (generic vs specific),CHEBI:30851,keto-phenylpyruvic acid,BTNMPGBKDVTSJY,CHEBI:26008,phenylpyruvate,BTNMPGBKDVTSJY,BTNMPGBKDVTSJY,,expert,ambiguous_shared_connectivity,True,
phosphate,CURATION,multi-id (biomapper ambiguous set),CHEBI:26078,phosphoric acid,NBIIXXVUZAFLBC,CHEBI:18367|CHEBI:26020,phosphate(3-)|phosphate,NBIIXXVUZAFLBC|NBIIXXVUZAFLBC,NBIIXXVUZAFLBC,,expert,ambiguous_shared_connectivity,False,
phytanate,CURATION,parent/child or substring (generic vs specific),CHEBI:16285,phytanic acid,RLCKHJSFHOZMDR,CHEBI:172542,"3D,7D,11D-Phytanic acid",RLCKHJSFHOZMDR,RLCKHJSFHOZMDR,,expert,ambiguous_shared_connectivity,True,
pipecolate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17964,pipecolic acid,HXEACLLIILLPRG,CHEBI:36110,pipecolate,HXEACLLIILLPRG,HXEACLLIILLPRG,,expert,ambiguous_shared_connectivity,True,
purine,MS1,parent/child or substring (generic vs specific),CHEBI:17258,7H-purine,KDCGOANMDULRCW,CHEBI:35584,purine,KDCGOANMDULRCW,KDCGOANMDULRCW,,expert,ambiguous_shared_connectivity,True,
pyridoxate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17405,4-pyridoxic acid,HXACOUQIXZGNBF,CHEBI:132948,pyridoxate,,,,expert,query_unresolvable,False,
resveratrol,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27881,resveratrol,LUKBXSAWLPMMSZ,CHEBI:45713,trans-resveratrol,LUKBXSAWLPMMSZ,LUKBXSAWLPMMSZ,,expert,ambiguous_shared_connectivity,True,
ribonate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:21077,D-ribonic acid,QXKAIJAYHKCRRA,CHEBI:33527,ribonate,QXKAIJAYHKCRRA,QXKAIJAYHKCRRA,,expert,ambiguous_shared_connectivity,True,
sepiapterin,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:16095,sepiapterin,VPVOXUSPXFPWBN,CHEBI:194527,L-sepiapterin,VPVOXUSPXFPWBN,VPVOXUSPXFPWBN,,expert,ambiguous_shared_connectivity,True,
serine,CURATION,multi-id (biomapper ambiguous set),CHEBI:17822,serine,MTCFGRXMJLQNBG,CHEBI:16523|CHEBI:17115|CHEBI:33384,D-serine|L-serine|L-serine zwitterion,MTCFGRXMJLQNBG|MTCFGRXMJLQNBG|MTCFGRXMJLQNBG,MTCFGRXMJLQNBG,,expert,ambiguous_shared_connectivity,False,
sorbate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:35962,sorbic acid,WSWCOQWTEOXDQX,CHEBI:36550,sorbate,WSWCOQWTEOXDQX,WSWCOQWTEOXDQX,,expert,ambiguous_shared_connectivity,False,
sphinganine-1-phosphate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16893,sphinganine 1-phosphate,YHEDRJPUIRMZMP,CHEBI:57939,sphinganine 1-phosphate(1-),YHEDRJPUIRMZMP,YHEDRJPUIRMZMP,,expert,ambiguous_shared_connectivity,True,
syringaresinol,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:49211,syringaresinol,KOWMJRJXZMEZLD,CHEBI:47,(+)-syringaresinol,KOWMJRJXZMEZLD,KOWMJRJXZMEZLD,,expert,ambiguous_shared_connectivity,True,
tagatose,MS1,parent/child or substring (generic vs specific),CHEBI:47693,keto-D-tagatose,LKDRXBCSQODPBY,CHEBI:33954,tagatose,LKDRXBCSQODPBY,LKDRXBCSQODPBY,,expert,ambiguous_shared_connectivity,True,
tartronate (hydroxymalonate),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16513,hydroxymalonic acid,ROBFUDYVXSDBQM,CHEBI:17649,hydroxymalonate(2-),ROBFUDYVXSDBQM,,,expert,query_unresolvable,True,
taurochenodeoxycholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16525,taurochenodeoxycholic acid,BHTRKEVKTKCXOH,CHEBI:9407,taurochenodeoxycholate,BHTRKEVKTKCXOH,BHTRKEVKTKCXOH,,expert,ambiguous_shared_connectivity,True,
thioproline,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:64564,thioproline,DZLNHFMRPBPULJ,CHEBI:45171,L-thioproline,DZLNHFMRPBPULJ,DZLNHFMRPBPULJ,,expert,ambiguous_shared_connectivity,True,
threonate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:15908,L-threonic acid,JPIJQSOTBSSVTP,CHEBI:15243,threonate,JPIJQSOTBSSVTP,JPIJQSOTBSSVTP,,expert,ambiguous_shared_connectivity,False,
trans-urocanate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:27248,urocanic acid,LOIYMIARKYCTBW,CHEBI:30817,trans-urocanic acid,LOIYMIARKYCTBW,LOIYMIARKYCTBW,,expert,ambiguous_shared_connectivity,True,
trehalose,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27082,trehalose,HDTRYLNUVZCQOY,CHEBI:16551,"alpha,alpha-trehalose",HDTRYLNUVZCQOY,HDTRYLNUVZCQOY,,expert,ambiguous_shared_connectivity,True,
tryptophan,CURATION,multi-id (biomapper ambiguous set),CHEBI:27897,tryptophan,WUGMRIBZSVSJNP,CHEBI:16828|CHEBI:57719|CHEBI:57912,L-tryptophan|D-tryptophan zwitterion|L-tryptophan zwitterion,QIVBCDIJIAJPQS|QIVBCDIJIAJPQS|QIVBCDIJIAJPQS,QIVBCDIJIAJPQS,,expert,ambiguous_shared_connectivity,True,
tyrosine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18186,tyrosine,OUYCCCASQSFEME,CHEBI:17895,L-tyrosine,WFTCFVUQORELJZ,OUYCCCASQSFEME,CHEBI:18186,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
undecanoate (11:0),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:32368,undecanoic acid,ZDPHROOEEOARMN,CHEBI:32369,undecanoate,ZDPHROOEEOARMN,,,expert,query_unresolvable,True,
valine,CURATION,multi-id (biomapper ambiguous set),CHEBI:27266,valine,KZSNJWFQEVHDMF,CHEBI:16414|CHEBI:57762,L-valine|L-valine zwitterion,KZSNJWFQEVHDMF|KZSNJWFQEVHDMF,KZSNJWFQEVHDMF,,expert,ambiguous_shared_connectivity,True,
